"V1" "V2" "V3" "V4" "V5" "V6" "V7"
10088.9769893028 2951.47229330409 2047.68216883286 1370.70853647626 589.224129137127 367.3291630291 184.474716386401
10596.7095378648 2940.71989731911 2496.72414421373 954.974758281398 437.64716936746 282.987380164936 211.608172413202
8861.59682676178 5651.05812316779 1205.01003590915 1802.11872255024 535.015089480741 384.224901473125 153.783083489365
8151.12518797295 2121.98529829118 2882.73921349763 1173.7224349029 294.52612112837 252.736203695167 155.721120313612
14348.768292431 3795.10761418473 3017.932023821 864.401646577463 556.810110789943 557.049660164085 179.77600910226
16673.6890454422 3949.39695379955 2424.45539683978 1320.07020604963 523.872258327231 435.82169895824 182.539205283116
8923.14748079631 2566.35889324676 2595.50679426202 1210.24829466654 401.973243689777 346.072345895358 250.148377467522
7480.07692122735 5009.48003164156 2771.87518471963 1026.72740303719 552.148133254104 377.453685770985 179.02238355529
13275.2740713192 3544.21335816936 3971.7131195021 1060.80079529539 313.306051826794 337.412058680643 100.258571059452
7725.32862153133 3629.14150173867 2287.70772623885 1000.90172047639 739.605956612947 229.742180714978 213.792609497102
20048.402218688 5807.00785663775 1659.13086025364 1100.55412504727 494.258504701389 232.35441131481 136.211745311319
11273.825303581 6970.86188580195 3148.01969853462 689.771967057496 347.886773003143 643.873271346923 178.557398296478
7213.66829360705 3617.84297927098 2661.01714530743 1590.90245821196 370.469110851856 243.687944024713 220.553235371178
11784.9616960658 5296.34966009849 2653.43509876594 982.78201448177 681.661026882044 249.784840082523 96.5342788976669
11512.9431999422 6747.71950663551 2056.16076187435 844.597080619864 616.30161475649 202.161210626229 213.110506583065
11987.9513283931 3046.1843471248 2325.88519361718 1078.10034549726 548.79898251203 408.190561080952 245.933755576881
14483.0440395585 3876.74323395973 2254.20141827857 1487.63358957169 396.761063311345 321.825217578851 280.155670633407
12122.6321290034 2298.08819040281 1856.27077093973 906.385279372197 465.139180359866 443.348816593061 166.743460951274
9841.67418260637 4619.39503759531 2037.93621944182 938.508831566115 463.1785879838 188.174498461467 136.990798105589
10582.4401894472 7228.50829975339 2840.64226261592 989.734982270325 330.19773657633 268.378560674842 261.612008518448
12395.8705849134 2979.08298622888 2268.75390305034 1432.78245539059 476.455885089336 378.925700479419 104.48523412497
15666.2659594201 2379.88751990337 1987.47995098536 1133.45690055008 436.39233305173 312.272160559248 169.27785406298
12783.7366806437 3309.95434494255 2260.78003161439 904.60006099655 339.797997620734 277.000940776435 161.594426620979
8599.28352882989 2071.85550379962 3095.7000405766 933.133825817381 477.861421872617 298.972932062047 181.870826712505
9825.2686464468 5913.17166062464 2313.8272870359 1036.59244395256 400.406415097225 234.401453826682 218.80475426329
7318.20501981044 4787.76936359794 1523.93223790154 1125.6980636762 617.261206391322 290.669362576985 157.194129128046
10956.9595802578 5225.37882523696 1695.80782816777 846.29762485507 421.764005882295 235.945067703125 136.330336736224
10400.0297899975 3869.5248407795 1348.91169660995 880.719530010381 933.071430007435 425.890049153035 329.83748909002
9226.62205588773 3742.89590262562 3626.78800351565 1777.52262634759 335.783331304506 216.796279926771 222.08851497527
7483.43967279237 3635.91152084789 1573.84544723278 1346.31806725123 972.74270722806 363.745817187439 204.065010675688
11893.4557653898 5351.14274473291 2948.4200917377 974.206681807834 518.036596608896 290.144230148009 167.984391109263
13232.0161213304 3813.06165914766 2455.62682551081 1356.8164820337 661.291272274612 421.582927703087 223.156796565159
