"","score","method","forest"
"rpart1",12.6684104908025,"rpart","DECISION TREE"
"rpart2",13.8258432426353,"rpart","DECISION TREE"
"rpart3",15.8415725891288,"rpart","DECISION TREE"
"rpart4",11.432788768201,"rpart","DECISION TREE"
"rpart5",12.8136412625941,"rpart","DECISION TREE"
"rpart6",13.7601942352217,"rpart","DECISION TREE"
"rpart7",12.5831567004022,"rpart","DECISION TREE"
"rpart8",12.5267913471456,"rpart","DECISION TREE"
"rpart9",18.9022520279487,"rpart","DECISION TREE"
"rpart10",11.7700496927618,"rpart","DECISION TREE"
"rpart11",13.3215356436874,"rpart","DECISION TREE"
"rpart12",17.2377598891197,"rpart","DECISION TREE"
"rpart13",14.453681664048,"rpart","DECISION TREE"
"rpart14",14.9098581453628,"rpart","DECISION TREE"
"rpart15",13.1180494188715,"rpart","DECISION TREE"
"rpart16",11.8760251675881,"rpart","DECISION TREE"
"rpart17",13.2807729767177,"rpart","DECISION TREE"
"rpart18",15.60668499017,"rpart","DECISION TREE"
"rpart19",17.722515532942,"rpart","DECISION TREE"
"rpart20",13.1751356517948,"rpart","DECISION TREE"
"rpart21",14.9054450097924,"rpart","DECISION TREE"
"rpart22",15.5228798858625,"rpart","DECISION TREE"
"rpart23",13.3271412243464,"rpart","DECISION TREE"
"rpart24",14.4510190918544,"rpart","DECISION TREE"
"rpart25",13.3484240318777,"rpart","DECISION TREE"
"rpart26",15.4442411097269,"rpart","DECISION TREE"
"rpart27",12.940907928607,"rpart","DECISION TREE"
"rpart28",12.4200838348967,"rpart","DECISION TREE"
"rpart29",14.314969861292,"rpart","DECISION TREE"
"rpart30",13.0757294648441,"rpart","DECISION TREE"
"rpart31",18.1149794886374,"rpart","DECISION TREE"
"rpart32",14.4549906649721,"rpart","DECISION TREE"
"rpart33",16.5617382350661,"rpart","DECISION TREE"
"rpart34",13.7824169989712,"rpart","DECISION TREE"
"rpart35",14.670029537785,"rpart","DECISION TREE"
"rpart36",13.4789865856862,"rpart","DECISION TREE"
"rpart37",12.189521597347,"rpart","DECISION TREE"
"rpart38",12.4970232729628,"rpart","DECISION TREE"
"rpart39",13.9685212615196,"rpart","DECISION TREE"
"rpart40",15.312084346338,"rpart","DECISION TREE"
"rpart41",16.0207349900509,"rpart","DECISION TREE"
"rpart42",14.4823204749419,"rpart","DECISION TREE"
"rpart43",10.4495522230431,"rpart","DECISION TREE"
"rpart44",12.7820372823918,"rpart","DECISION TREE"
"rpart45",11.9789032433558,"rpart","DECISION TREE"
"rpart46",12.8401011704596,"rpart","DECISION TREE"
"rpart47",11.2335245728172,"rpart","DECISION TREE"
"rpart48",11.4927339777565,"rpart","DECISION TREE"
"rpart49",13.8377892556907,"rpart","DECISION TREE"
"rpart50",14.7352912657642,"rpart","DECISION TREE"
"rpart51",13.0381478929382,"rpart","DECISION TREE"
"rpart52",11.5305306278981,"rpart","DECISION TREE"
"rpart53",11.8457346503261,"rpart","DECISION TREE"
"rpart54",14.3655317612352,"rpart","DECISION TREE"
"rpart55",14.7810295144446,"rpart","DECISION TREE"
"rpart56",12.4391914730897,"rpart","DECISION TREE"
"rpart57",13.6260803824862,"rpart","DECISION TREE"
"rpart58",13.8558961358976,"rpart","DECISION TREE"
"rpart59",14.2869546958112,"rpart","DECISION TREE"
"rpart60",13.1831156586513,"rpart","DECISION TREE"
"rpart61",13.0288031316733,"rpart","DECISION TREE"
"rpart62",12.3191536645515,"rpart","DECISION TREE"
"rpart63",16.004614789254,"rpart","DECISION TREE"
"rpart64",11.1793378067502,"rpart","DECISION TREE"
"rpart65",14.4348408912617,"rpart","DECISION TREE"
"rpart66",12.2652745101497,"rpart","DECISION TREE"
"rpart67",13.347490641513,"rpart","DECISION TREE"
"rpart68",14.1799790873693,"rpart","DECISION TREE"
"rpart69",12.3694255753412,"rpart","DECISION TREE"
"rpart70",13.5004578443169,"rpart","DECISION TREE"
"rpart71",15.1793338756477,"rpart","DECISION TREE"
"rpart72",13.5172709227007,"rpart","DECISION TREE"
"rpart73",15.0503002607301,"rpart","DECISION TREE"
"rpart74",12.0415703132921,"rpart","DECISION TREE"
"rpart75",13.6849925810311,"rpart","DECISION TREE"
"rpart76",16.2554092840756,"rpart","DECISION TREE"
"rpart77",11.1902800164987,"rpart","DECISION TREE"
"rpart78",13.1803215619661,"rpart","DECISION TREE"
"rpart79",12.9254371007349,"rpart","DECISION TREE"
"rpart80",13.2083268489857,"rpart","DECISION TREE"
"rpart81",14.8554931089368,"rpart","DECISION TREE"
"rpart82",15.1895686043644,"rpart","DECISION TREE"
"rpart83",11.8928413987091,"rpart","DECISION TREE"
"rpart84",14.5238218270791,"rpart","DECISION TREE"
"rpart85",13.6710675790885,"rpart","DECISION TREE"
"rpart86",13.2332200528761,"rpart","DECISION TREE"
"rpart87",10.8738876842844,"rpart","DECISION TREE"
"rpart88",14.8204602456816,"rpart","DECISION TREE"
"rpart89",11.3512788175309,"rpart","DECISION TREE"
"rpart90",14.2496818069811,"rpart","DECISION TREE"
"rpart91",13.7556164572094,"rpart","DECISION TREE"
