"","score","method","forest"
"rpart1",19.2555223571189,"rpart","DECISION TREE"
"rpart2",23.0799361630044,"rpart","DECISION TREE"
"rpart3",22.204892181996,"rpart","DECISION TREE"
"rpart4",18.4002865159976,"rpart","DECISION TREE"
"rpart5",21.4772466691474,"rpart","DECISION TREE"
"rpart6",20.1201959912309,"rpart","DECISION TREE"
"rpart7",20.9535365602548,"rpart","DECISION TREE"
"rpart8",19.1134600452679,"rpart","DECISION TREE"
"rpart9",24.8516459315637,"rpart","DECISION TREE"
"rpart10",22.4918043311399,"rpart","DECISION TREE"
"rpart11",20.9239511200776,"rpart","DECISION TREE"
"rpart12",21.0840069783492,"rpart","DECISION TREE"
"rpart13",20.3969080438466,"rpart","DECISION TREE"
"rpart14",20.2638360426471,"rpart","DECISION TREE"
"rpart15",19.5055882629021,"rpart","DECISION TREE"
"rpart16",18.012816382748,"rpart","DECISION TREE"
"rpart17",19.7270008552373,"rpart","DECISION TREE"
"rpart18",21.4319260325617,"rpart","DECISION TREE"
"rpart19",21.3185478916081,"rpart","DECISION TREE"
"rpart20",19.4730084498539,"rpart","DECISION TREE"
"rpart21",20.0443769343189,"rpart","DECISION TREE"
"rpart22",19.7490834347082,"rpart","DECISION TREE"
"rpart23",17.3577797858212,"rpart","DECISION TREE"
"rpart24",19.8549874450034,"rpart","DECISION TREE"
"rpart25",21.3544396425434,"rpart","DECISION TREE"
"rpart26",19.206628186012,"rpart","DECISION TREE"
"rpart27",18.8186557484439,"rpart","DECISION TREE"
"rpart28",20.6584822255032,"rpart","DECISION TREE"
"rpart29",19.6252924906417,"rpart","DECISION TREE"
"rpart30",20.3769373198847,"rpart","DECISION TREE"
"rpart31",22.9061625917131,"rpart","DECISION TREE"
"rpart32",20.2376851166389,"rpart","DECISION TREE"
"rpart33",21.1631882722909,"rpart","DECISION TREE"
"rpart34",21.3816118189569,"rpart","DECISION TREE"
"rpart35",21.6611300406061,"rpart","DECISION TREE"
"rpart36",20.1208724016438,"rpart","DECISION TREE"
"rpart37",18.8391666588183,"rpart","DECISION TREE"
"rpart38",19.328958065049,"rpart","DECISION TREE"
"rpart39",19.8795519731701,"rpart","DECISION TREE"
"rpart40",20.5811982235888,"rpart","DECISION TREE"
"rpart41",19.2396338674485,"rpart","DECISION TREE"
"rpart42",21.2404459208372,"rpart","DECISION TREE"
"rpart43",15.9888982560642,"rpart","DECISION TREE"
"rpart44",21.7070569913588,"rpart","DECISION TREE"
"rpart45",20.5070920137345,"rpart","DECISION TREE"
"rpart46",20.0916229926627,"rpart","DECISION TREE"
"rpart47",19.1425130161032,"rpart","DECISION TREE"
"rpart48",18.7958462392545,"rpart","DECISION TREE"
"rpart49",20.601392414909,"rpart","DECISION TREE"
"rpart50",20.3969170239061,"rpart","DECISION TREE"
"rpart51",18.5087746041454,"rpart","DECISION TREE"
"rpart52",17.8113965362093,"rpart","DECISION TREE"
"rpart53",20.821026766931,"rpart","DECISION TREE"
"rpart54",18.3501694595732,"rpart","DECISION TREE"
"rpart55",19.6304815995791,"rpart","DECISION TREE"
"rpart56",17.1213764851796,"rpart","DECISION TREE"
"rpart57",19.9349271881199,"rpart","DECISION TREE"
"rpart58",19.049241839797,"rpart","DECISION TREE"
"rpart59",20.1295114916478,"rpart","DECISION TREE"
"rpart60",18.2713978204704,"rpart","DECISION TREE"
"rpart61",19.8061775932115,"rpart","DECISION TREE"
"rpart62",20.580685522099,"rpart","DECISION TREE"
"rpart63",22.621324254436,"rpart","DECISION TREE"
"rpart64",19.8178247319379,"rpart","DECISION TREE"
"rpart65",19.9811988393288,"rpart","DECISION TREE"
"rpart66",17.6515234614275,"rpart","DECISION TREE"
"rpart67",18.3069961830911,"rpart","DECISION TREE"
"rpart68",19.9848146459126,"rpart","DECISION TREE"
"rpart69",21.2201592753282,"rpart","DECISION TREE"
"rpart70",21.2054416169307,"rpart","DECISION TREE"
"rpart71",21.1939038967126,"rpart","DECISION TREE"
"rpart72",21.0302308542009,"rpart","DECISION TREE"
"rpart73",20.5814020000918,"rpart","DECISION TREE"
"rpart74",18.1142484422895,"rpart","DECISION TREE"
"rpart75",22.3894950465244,"rpart","DECISION TREE"
"rpart76",21.2622742238489,"rpart","DECISION TREE"
"rpart77",19.7776764158162,"rpart","DECISION TREE"
"rpart78",22.1142432147751,"rpart","DECISION TREE"
"rpart79",19.4440346127021,"rpart","DECISION TREE"
"rpart80",19.058959990948,"rpart","DECISION TREE"
"rpart81",21.0400172853311,"rpart","DECISION TREE"
"rpart82",22.2287196821677,"rpart","DECISION TREE"
"rpart83",20.4970565660571,"rpart","DECISION TREE"
"rpart84",21.9308887537364,"rpart","DECISION TREE"
"rpart85",19.2920495033383,"rpart","DECISION TREE"
"rpart86",20.5895085322371,"rpart","DECISION TREE"
"rpart87",18.3260857215277,"rpart","DECISION TREE"
"rpart88",20.8541335382514,"rpart","DECISION TREE"
"rpart89",17.2256900892534,"rpart","DECISION TREE"
"rpart90",19.0065793396622,"rpart","DECISION TREE"
"rpart91",18.266328295074,"rpart","DECISION TREE"
"rpart92",19.0617511574477,"rpart","DECISION TREE"
"rpart93",20.1397852378805,"rpart","DECISION TREE"
"rpart94",19.7287108311702,"rpart","DECISION TREE"
"rpart95",20.928993702306,"rpart","DECISION TREE"
"rpart96",22.2087840722047,"rpart","DECISION TREE"
"rpart97",19.5510149789039,"rpart","DECISION TREE"
"rpart98",17.4656439421262,"rpart","DECISION TREE"
"rpart99",21.4083871746409,"rpart","DECISION TREE"
"rpart100",17.7673423008337,"rpart","DECISION TREE"
"rpart101",18.4993243392562,"rpart","DECISION TREE"
"rpart102",16.6962555870206,"rpart","DECISION TREE"
"rpart103",21.4289395474014,"rpart","DECISION TREE"
"rpart104",20.6251057686564,"rpart","DECISION TREE"
"rpart105",17.2244449576627,"rpart","DECISION TREE"
"rpart106",20.2114864489287,"rpart","DECISION TREE"
"rpart107",20.3881951875172,"rpart","DECISION TREE"
"rpart108",18.885806938457,"rpart","DECISION TREE"
"rpart109",19.318290706486,"rpart","DECISION TREE"
"rpart110",23.8003056705405,"rpart","DECISION TREE"
"rpart111",19.05031564667,"rpart","DECISION TREE"
"rpart112",21.1701139004665,"rpart","DECISION TREE"
"rpart113",19.4625440091166,"rpart","DECISION TREE"
"rpart114",21.3587789358148,"rpart","DECISION TREE"
"rpart115",20.5612873825959,"rpart","DECISION TREE"
"rpart116",20.2069115409795,"rpart","DECISION TREE"
"rpart117",17.4819545123296,"rpart","DECISION TREE"
"rpart118",21.2865489913391,"rpart","DECISION TREE"
"rpart119",20.5182289363788,"rpart","DECISION TREE"
"rpart120",21.4870778326723,"rpart","DECISION TREE"
"rpart121",21.8919091276069,"rpart","DECISION TREE"
"rpart122",16.8248889174517,"rpart","DECISION TREE"
"rpart123",20.8555987404332,"rpart","DECISION TREE"
"rpart124",16.0445565195838,"rpart","DECISION TREE"
"rpart125",19.8179389521082,"rpart","DECISION TREE"
"rpart126",18.5603241640746,"rpart","DECISION TREE"
"rpart127",22.436096697781,"rpart","DECISION TREE"
"rpart128",18.978071139817,"rpart","DECISION TREE"
"rpart129",21.9111004439825,"rpart","DECISION TREE"
"rpart130",18.4877990456112,"rpart","DECISION TREE"
"rpart131",20.2517208977123,"rpart","DECISION TREE"
"rpart132",18.3120077692447,"rpart","DECISION TREE"
"rpart133",18.1204773185612,"rpart","DECISION TREE"
"rpart134",21.5423263943144,"rpart","DECISION TREE"
"rpart135",20.4967881336704,"rpart","DECISION TREE"
"rpart136",21.1606983123155,"rpart","DECISION TREE"
"rpart137",17.5210116304359,"rpart","DECISION TREE"
"rpart138",20.5848848540988,"rpart","DECISION TREE"
"rpart139",19.617707133443,"rpart","DECISION TREE"
"rpart140",18.5721710326075,"rpart","DECISION TREE"
"rpart141",21.9330915780828,"rpart","DECISION TREE"
"rpart142",19.4352074166295,"rpart","DECISION TREE"
"rpart143",19.5161597895157,"rpart","DECISION TREE"
"rpart144",19.6567279136277,"rpart","DECISION TREE"
"rpart145",18.8814246960263,"rpart","DECISION TREE"
"rpart146",17.8840169314634,"rpart","DECISION TREE"
"rpart147",17.9692511699877,"rpart","DECISION TREE"
"rpart148",18.6425250888226,"rpart","DECISION TREE"
"rpart149",21.5605768627212,"rpart","DECISION TREE"
"rpart150",18.0739742717443,"rpart","DECISION TREE"
"rpart151",19.2346639885582,"rpart","DECISION TREE"
"rpart152",19.2901020004602,"rpart","DECISION TREE"
"rpart153",19.3720153174026,"rpart","DECISION TREE"
"rpart154",18.9711539007516,"rpart","DECISION TREE"
"rpart155",21.9176415659136,"rpart","DECISION TREE"
"rpart156",17.2912329343655,"rpart","DECISION TREE"
"rpart157",20.7816518639435,"rpart","DECISION TREE"
"rpart158",20.5610804501206,"rpart","DECISION TREE"
"rpart159",20.6368276062343,"rpart","DECISION TREE"
"rpart160",19.4283960444343,"rpart","DECISION TREE"
"rpart161",20.373413132623,"rpart","DECISION TREE"
"rpart162",19.0842904416645,"rpart","DECISION TREE"
"rpart163",20.0824231444299,"rpart","DECISION TREE"
"rpart164",17.8424184155,"rpart","DECISION TREE"
"rpart165",20.3388488181549,"rpart","DECISION TREE"
"rpart166",18.086873003417,"rpart","DECISION TREE"
"rpart167",20.284169275215,"rpart","DECISION TREE"
"rpart168",17.904856468044,"rpart","DECISION TREE"
"rpart169",21.2479163880213,"rpart","DECISION TREE"
"rpart170",18.1590824178803,"rpart","DECISION TREE"
"rpart171",19.0202098738884,"rpart","DECISION TREE"
"rpart172",19.3825484075117,"rpart","DECISION TREE"
"rpart173",23.9547636125335,"rpart","DECISION TREE"
"rpart174",18.182515553802,"rpart","DECISION TREE"
"rpart175",18.9699363409859,"rpart","DECISION TREE"
"rpart176",19.5060077778994,"rpart","DECISION TREE"
"rpart177",17.7468228046898,"rpart","DECISION TREE"
"rpart178",18.450511499819,"rpart","DECISION TREE"
"rpart179",18.3835998145833,"rpart","DECISION TREE"
"rpart180",22.0567776201461,"rpart","DECISION TREE"
"rpart181",24.1728774117723,"rpart","DECISION TREE"
"rpart182",20.3198667000117,"rpart","DECISION TREE"
"rpart183",22.4192374126985,"rpart","DECISION TREE"
"rpart184",20.6400853239635,"rpart","DECISION TREE"
"rpart185",18.8383888594235,"rpart","DECISION TREE"
"rpart186",16.2054352364108,"rpart","DECISION TREE"
"rpart187",18.7276232882456,"rpart","DECISION TREE"
"rpart188",17.9688825110558,"rpart","DECISION TREE"
"rpart189",20.0459459471598,"rpart","DECISION TREE"
"rpart190",16.0939156093673,"rpart","DECISION TREE"
"rpart191",18.6540811034599,"rpart","DECISION TREE"
"rpart192",19.6454531243816,"rpart","DECISION TREE"
"rpart193",19.5127230123853,"rpart","DECISION TREE"
"rpart194",21.5821498437758,"rpart","DECISION TREE"
"rpart195",21.671661343636,"rpart","DECISION TREE"
"rpart196",19.6778425339989,"rpart","DECISION TREE"
"rpart197",20.8696131845426,"rpart","DECISION TREE"
"rpart198",19.4066075052365,"rpart","DECISION TREE"
"rpart199",23.8777545300958,"rpart","DECISION TREE"
"rpart200",20.9357494357905,"rpart","DECISION TREE"
"rpart201",19.6307305010815,"rpart","DECISION TREE"
"rpart202",18.116979007492,"rpart","DECISION TREE"
"rpart203",21.7002207449978,"rpart","DECISION TREE"
"rpart204",21.1102858413602,"rpart","DECISION TREE"
"rpart205",20.9122154947531,"rpart","DECISION TREE"
"rpart206",22.7914222431664,"rpart","DECISION TREE"
"rpart207",21.9535220480165,"rpart","DECISION TREE"
"rpart208",19.4590927206649,"rpart","DECISION TREE"
"rpart209",17.6476002737081,"rpart","DECISION TREE"
"rpart210",20.7741835994659,"rpart","DECISION TREE"
"rpart211",20.7222292642999,"rpart","DECISION TREE"
"rpart212",18.4734731794739,"rpart","DECISION TREE"
"rpart213",19.3043800513075,"rpart","DECISION TREE"
"rpart214",20.3335451733911,"rpart","DECISION TREE"
"rpart215",18.84593565858,"rpart","DECISION TREE"
"rpart216",20.3789433199394,"rpart","DECISION TREE"
"rpart217",18.5803214270574,"rpart","DECISION TREE"
"rpart218",20.8641231805901,"rpart","DECISION TREE"
"rpart219",18.0483824833763,"rpart","DECISION TREE"
"rpart220",22.2294093460099,"rpart","DECISION TREE"
"rpart221",18.6415035040711,"rpart","DECISION TREE"
"rpart222",19.6914360332881,"rpart","DECISION TREE"
"rpart223",18.7145375273497,"rpart","DECISION TREE"
"rpart224",20.684194456917,"rpart","DECISION TREE"
"rpart225",21.5314355746488,"rpart","DECISION TREE"
"rpart226",24.3301716191907,"rpart","DECISION TREE"
"rpart227",17.6991428942514,"rpart","DECISION TREE"
"rpart228",20.165379187553,"rpart","DECISION TREE"
"rpart229",21.3897508490607,"rpart","DECISION TREE"
"rpart230",19.7521405162369,"rpart","DECISION TREE"
"rpart231",20.8459841248512,"rpart","DECISION TREE"
"rpart232",19.191644879519,"rpart","DECISION TREE"
"rpart233",21.4828510283129,"rpart","DECISION TREE"
"rpart234",21.2416102239367,"rpart","DECISION TREE"
"rpart235",20.682477538952,"rpart","DECISION TREE"
"rpart236",19.1561989103848,"rpart","DECISION TREE"
"rpart237",17.0905939136698,"rpart","DECISION TREE"
"rpart238",19.789491235527,"rpart","DECISION TREE"
"rpart239",21.7374005122432,"rpart","DECISION TREE"
"rpart240",19.0261652552069,"rpart","DECISION TREE"
"rpart241",19.6024181401923,"rpart","DECISION TREE"
"rpart242",18.6641089659611,"rpart","DECISION TREE"
"rpart243",19.5474909691122,"rpart","DECISION TREE"
"rpart244",20.8269450156162,"rpart","DECISION TREE"
"rpart245",18.1774131562841,"rpart","DECISION TREE"
"rpart246",20.8243831254099,"rpart","DECISION TREE"
"rpart247",20.5223935380774,"rpart","DECISION TREE"
"rpart248",17.2965908745553,"rpart","DECISION TREE"
"rpart249",19.2249964359446,"rpart","DECISION TREE"
"rpart250",21.4808042040999,"rpart","DECISION TREE"
"rpart251",20.8476386972834,"rpart","DECISION TREE"
"rpart252",16.7272452937356,"rpart","DECISION TREE"
"rpart253",21.4570426897454,"rpart","DECISION TREE"
"rpart254",21.0082946322995,"rpart","DECISION TREE"
"rpart255",19.1463107888551,"rpart","DECISION TREE"
"rpart256",22.861689943533,"rpart","DECISION TREE"
"rpart257",20.2333309164526,"rpart","DECISION TREE"
"rpart258",18.23773674236,"rpart","DECISION TREE"
"rpart259",20.6832426008033,"rpart","DECISION TREE"
"rpart260",22.8406941410332,"rpart","DECISION TREE"
"rpart261",18.9691503168807,"rpart","DECISION TREE"
"rpart262",16.9851799595569,"rpart","DECISION TREE"
"rpart263",22.3317242033539,"rpart","DECISION TREE"
"rpart264",18.7449182830109,"rpart","DECISION TREE"
"rpart265",20.1521617519124,"rpart","DECISION TREE"
