"","score","method","forest"
"rpart1",10.1696408899979,"rpart","DECISION TREE"
"rpart2",9.90296882791886,"rpart","DECISION TREE"
"rpart3",10.5265954095354,"rpart","DECISION TREE"
"rpart4",6.8775795981507,"rpart","DECISION TREE"
"rpart5",9.53240954539381,"rpart","DECISION TREE"
"rpart6",9.16389382964073,"rpart","DECISION TREE"
"rpart7",8.64487911683749,"rpart","DECISION TREE"
"rpart8",8.77419465691296,"rpart","DECISION TREE"
"rpart9",10.2481915858817,"rpart","DECISION TREE"
"rpart10",9.31679346015933,"rpart","DECISION TREE"
"rpart11",10.297456219081,"rpart","DECISION TREE"
"rpart12",8.00908516603882,"rpart","DECISION TREE"
"rpart13",8.52084275951333,"rpart","DECISION TREE"
"rpart14",9.53956327637282,"rpart","DECISION TREE"
"rpart15",10.79572475751,"rpart","DECISION TREE"
"rpart16",8.27230299612934,"rpart","DECISION TREE"
"rpart17",9.05157117071887,"rpart","DECISION TREE"
"rpart18",9.28462009765225,"rpart","DECISION TREE"
"rpart19",9.26120085021917,"rpart","DECISION TREE"
"rpart20",11.0143836570285,"rpart","DECISION TREE"
"rpart21",10.1042221447829,"rpart","DECISION TREE"
"rpart22",10.6415461255581,"rpart","DECISION TREE"
"rpart23",9.23752003191775,"rpart","DECISION TREE"
"rpart24",9.09366867591625,"rpart","DECISION TREE"
"rpart25",9.64292378758298,"rpart","DECISION TREE"
"rpart26",7.66076476249965,"rpart","DECISION TREE"
"rpart27",8.94274608663017,"rpart","DECISION TREE"
"rpart28",8.70557182117629,"rpart","DECISION TREE"
"rpart29",9.08647932291655,"rpart","DECISION TREE"
"rpart30",10.0788879467308,"rpart","DECISION TREE"
"rpart31",9.05652517638229,"rpart","DECISION TREE"
"rpart32",8.96617200085241,"rpart","DECISION TREE"
"rpart33",8.75609064442134,"rpart","DECISION TREE"
"rpart34",10.3820605163483,"rpart","DECISION TREE"
"rpart35",9.42600402493472,"rpart","DECISION TREE"
"rpart36",7.52265725601756,"rpart","DECISION TREE"
"rpart37",9.42901239585285,"rpart","DECISION TREE"
"rpart38",9.1433702638405,"rpart","DECISION TREE"
"rpart39",9.20121231527317,"rpart","DECISION TREE"
"rpart40",10.1227775502786,"rpart","DECISION TREE"
"rpart41",10.3189835189894,"rpart","DECISION TREE"
"rpart42",10.1933637408851,"rpart","DECISION TREE"
"rpart43",9.44043872058924,"rpart","DECISION TREE"
"rpart44",8.28038535265466,"rpart","DECISION TREE"
"rpart45",8.41201277482802,"rpart","DECISION TREE"
"rpart46",11.433324322664,"rpart","DECISION TREE"
"rpart47",8.91068812394118,"rpart","DECISION TREE"
"rpart48",9.74142470937249,"rpart","DECISION TREE"
"rpart49",10.1326877654917,"rpart","DECISION TREE"
"rpart50",11.8674609820187,"rpart","DECISION TREE"
"rpart51",8.70086983961164,"rpart","DECISION TREE"
"rpart52",8.87024720749632,"rpart","DECISION TREE"
"rpart53",9.97196330813875,"rpart","DECISION TREE"
"rpart54",7.59568080756673,"rpart","DECISION TREE"
"rpart55",9.02302810409609,"rpart","DECISION TREE"
"rpart56",7.86944526324979,"rpart","DECISION TREE"
"rpart57",10.7430940071123,"rpart","DECISION TREE"
"rpart58",9.11007490406579,"rpart","DECISION TREE"
"rpart59",8.55569426437426,"rpart","DECISION TREE"
"rpart60",8.96702404167215,"rpart","DECISION TREE"
"rpart61",8.62500471689877,"rpart","DECISION TREE"
"rpart62",7.64935557592173,"rpart","DECISION TREE"
"rpart63",9.2638894653614,"rpart","DECISION TREE"
"rpart64",7.85981567278806,"rpart","DECISION TREE"
"rpart65",8.91647167919886,"rpart","DECISION TREE"
"rpart66",8.67581366167979,"rpart","DECISION TREE"
"rpart67",8.60567524259338,"rpart","DECISION TREE"
"rpart68",9.77979640685103,"rpart","DECISION TREE"
"rpart69",9.23151663329982,"rpart","DECISION TREE"
"rpart70",11.2141428083348,"rpart","DECISION TREE"
"rpart71",9.23044184746025,"rpart","DECISION TREE"
"rpart72",11.4650111435105,"rpart","DECISION TREE"
"rpart73",7.72401747025531,"rpart","DECISION TREE"
"rpart74",8.7751904833828,"rpart","DECISION TREE"
"rpart75",8.86246084399664,"rpart","DECISION TREE"
"rpart76",9.47892811126454,"rpart","DECISION TREE"
"rpart77",9.25121343168678,"rpart","DECISION TREE"
"rpart78",8.10870108121878,"rpart","DECISION TREE"
"rpart79",9.41284606316336,"rpart","DECISION TREE"
"rpart80",8.51017126706355,"rpart","DECISION TREE"
"rpart81",9.23613276659117,"rpart","DECISION TREE"
"rpart82",8.44959311296834,"rpart","DECISION TREE"
"rpart83",9.96378381942878,"rpart","DECISION TREE"
"rpart84",9.89224113234312,"rpart","DECISION TREE"
"rpart85",8.48416843211867,"rpart","DECISION TREE"
"rpart86",9.74500552077923,"rpart","DECISION TREE"
"rpart87",8.28687109968452,"rpart","DECISION TREE"
"rpart88",7.66384467452366,"rpart","DECISION TREE"
"rpart89",8.65307434363798,"rpart","DECISION TREE"
"rpart90",8.46536598936551,"rpart","DECISION TREE"
"rpart91",8.78609374104295,"rpart","DECISION TREE"
"rpart92",8.94569548467295,"rpart","DECISION TREE"
"rpart93",9.60317896035708,"rpart","DECISION TREE"
"rpart94",9.69048573217512,"rpart","DECISION TREE"
"rpart95",8.86004179211821,"rpart","DECISION TREE"
"rpart96",8.03504375461471,"rpart","DECISION TREE"
"rpart97",8.308262697383,"rpart","DECISION TREE"
"rpart98",9.90178716695503,"rpart","DECISION TREE"
"rpart99",9.51814982396101,"rpart","DECISION TREE"
"rpart100",9.82243251955712,"rpart","DECISION TREE"
"rpart101",9.31023888734535,"rpart","DECISION TREE"
"rpart102",8.00248276102759,"rpart","DECISION TREE"
"rpart103",8.6919384634168,"rpart","DECISION TREE"
"rpart104",9.07294270225342,"rpart","DECISION TREE"
