"","score","method","forest"
"rpart1",19.1991974502581,"rpart","DECISION TREE"
"rpart2",23.0943894827778,"rpart","DECISION TREE"
"rpart3",22.1642359542587,"rpart","DECISION TREE"
"rpart4",18.3900962071735,"rpart","DECISION TREE"
"rpart5",21.4511872175252,"rpart","DECISION TREE"
"rpart6",20.1146569713045,"rpart","DECISION TREE"
"rpart7",20.6790878652191,"rpart","DECISION TREE"
"rpart8",19.3102817918832,"rpart","DECISION TREE"
"rpart9",24.6762790883326,"rpart","DECISION TREE"
"rpart10",22.5599508330981,"rpart","DECISION TREE"
"rpart11",20.8996027650008,"rpart","DECISION TREE"
"rpart12",21.1343218313955,"rpart","DECISION TREE"
"rpart13",20.3969080438466,"rpart","DECISION TREE"
"rpart14",20.2815176167232,"rpart","DECISION TREE"
"rpart15",19.4791648171491,"rpart","DECISION TREE"
"rpart16",17.7720268686211,"rpart","DECISION TREE"
"rpart17",19.7762594149993,"rpart","DECISION TREE"
"rpart18",21.4236327838773,"rpart","DECISION TREE"
"rpart19",21.5895733275419,"rpart","DECISION TREE"
"rpart20",19.3266888058878,"rpart","DECISION TREE"
"rpart21",20.0166965076116,"rpart","DECISION TREE"
"rpart22",19.8108792256408,"rpart","DECISION TREE"
"rpart23",17.3955179734638,"rpart","DECISION TREE"
"rpart24",19.8569915361529,"rpart","DECISION TREE"
"rpart25",21.3080709300012,"rpart","DECISION TREE"
"rpart26",19.2768616231558,"rpart","DECISION TREE"
"rpart27",18.8282366377906,"rpart","DECISION TREE"
"rpart28",20.6815285731083,"rpart","DECISION TREE"
"rpart29",19.6811305161635,"rpart","DECISION TREE"
"rpart30",19.8057997317172,"rpart","DECISION TREE"
"rpart31",22.8240392843306,"rpart","DECISION TREE"
"rpart32",20.1929201247763,"rpart","DECISION TREE"
"rpart33",21.0325483133051,"rpart","DECISION TREE"
"rpart34",21.36095984483,"rpart","DECISION TREE"
"rpart35",21.5631351868086,"rpart","DECISION TREE"
"rpart36",20.192002644087,"rpart","DECISION TREE"
"rpart37",19.025643963663,"rpart","DECISION TREE"
"rpart38",19.4045710945161,"rpart","DECISION TREE"
"rpart39",19.8440772220478,"rpart","DECISION TREE"
"rpart40",20.1650853576712,"rpart","DECISION TREE"
"rpart41",19.1867845890959,"rpart","DECISION TREE"
"rpart42",21.3189344140902,"rpart","DECISION TREE"
"rpart43",16.0203465211856,"rpart","DECISION TREE"
"rpart44",21.6529812354282,"rpart","DECISION TREE"
"rpart45",20.429897967191,"rpart","DECISION TREE"
"rpart46",20.1560062175402,"rpart","DECISION TREE"
"rpart47",19.1301358779777,"rpart","DECISION TREE"
"rpart48",18.7751360152902,"rpart","DECISION TREE"
"rpart49",20.6092336530638,"rpart","DECISION TREE"
"rpart50",20.4255663999623,"rpart","DECISION TREE"
"rpart51",18.5571138625989,"rpart","DECISION TREE"
"rpart52",17.7056943737173,"rpart","DECISION TREE"
"rpart53",20.7813726372917,"rpart","DECISION TREE"
"rpart54",18.2644086893164,"rpart","DECISION TREE"
"rpart55",19.6038498916569,"rpart","DECISION TREE"
"rpart56",17.1309080912345,"rpart","DECISION TREE"
"rpart57",19.7839803781147,"rpart","DECISION TREE"
"rpart58",18.9468292988999,"rpart","DECISION TREE"
"rpart59",20.131372505781,"rpart","DECISION TREE"
"rpart60",18.2901375223188,"rpart","DECISION TREE"
"rpart61",19.752876787272,"rpart","DECISION TREE"
"rpart62",20.4626690027505,"rpart","DECISION TREE"
"rpart63",22.5797589151992,"rpart","DECISION TREE"
"rpart64",19.8382041040361,"rpart","DECISION TREE"
"rpart65",20.0352076370087,"rpart","DECISION TREE"
"rpart66",17.7460691318713,"rpart","DECISION TREE"
"rpart67",18.2564685291232,"rpart","DECISION TREE"
"rpart68",19.9917469135499,"rpart","DECISION TREE"
"rpart69",21.1085784702367,"rpart","DECISION TREE"
"rpart70",21.2011668966628,"rpart","DECISION TREE"
"rpart71",21.2033838516213,"rpart","DECISION TREE"
