"","score","method","forest"
"rpart1",5.95902076789103,"rpart","DECISION TREE"
"rpart2",8.93158838386615,"rpart","DECISION TREE"
"rpart3",10.3660707979657,"rpart","DECISION TREE"
"rpart4",6.89691468741875,"rpart","DECISION TREE"
"rpart5",8.18946466460619,"rpart","DECISION TREE"
"rpart6",8.05525971970809,"rpart","DECISION TREE"
"rpart7",8.04338829163954,"rpart","DECISION TREE"
"rpart8",9.5068917272235,"rpart","DECISION TREE"
"rpart9",10.6267043869186,"rpart","DECISION TREE"
"rpart10",7.96577312845886,"rpart","DECISION TREE"
"rpart11",7.95446821967528,"rpart","DECISION TREE"
"rpart12",13.3567368269999,"rpart","DECISION TREE"
"rpart13",9.19346043670192,"rpart","DECISION TREE"
"rpart14",8.55418174911398,"rpart","DECISION TREE"
"rpart15",11.9356634453897,"rpart","DECISION TREE"
"rpart16",6.35953560629038,"rpart","DECISION TREE"
"rpart17",8.29265659331074,"rpart","DECISION TREE"
"rpart18",7.29762785879748,"rpart","DECISION TREE"
"rpart19",10.5159426973962,"rpart","DECISION TREE"
"rpart20",8.0623361335581,"rpart","DECISION TREE"
"rpart21",10.9659384464387,"rpart","DECISION TREE"
"rpart22",10.3017503544043,"rpart","DECISION TREE"
"rpart23",7.81271251287259,"rpart","DECISION TREE"
"rpart24",9.00470581006278,"rpart","DECISION TREE"
"rpart25",8.49185663717229,"rpart","DECISION TREE"
"rpart26",10.1099270438873,"rpart","DECISION TREE"
"rpart27",10.0989412442968,"rpart","DECISION TREE"
"rpart28",7.68723466925223,"rpart","DECISION TREE"
"rpart29",8.64177535251562,"rpart","DECISION TREE"
"rpart30",9.39524930650631,"rpart","DECISION TREE"
"rpart31",11.6591380285839,"rpart","DECISION TREE"
"rpart32",9.84947382158127,"rpart","DECISION TREE"
"rpart33",8.31151554031688,"rpart","DECISION TREE"
"rpart34",8.75584061811487,"rpart","DECISION TREE"
"rpart35",10.9010138128022,"rpart","DECISION TREE"
"rpart36",8.76827724871274,"rpart","DECISION TREE"
"rpart37",12.7737831374635,"rpart","DECISION TREE"
"rpart38",8.14819415410805,"rpart","DECISION TREE"
"rpart39",10.2224121501968,"rpart","DECISION TREE"
"rpart40",9.91817214955348,"rpart","DECISION TREE"
"rpart41",8.58492509831002,"rpart","DECISION TREE"
"rpart42",9.13314728986189,"rpart","DECISION TREE"
"rpart43",6.80343400208371,"rpart","DECISION TREE"
"rpart44",8.69294724481618,"rpart","DECISION TREE"
"rpart45",10.4050817259454,"rpart","DECISION TREE"
"rpart46",8.48440420917189,"rpart","DECISION TREE"
"rpart47",7.51661516391687,"rpart","DECISION TREE"
"rpart48",7.36266419445365,"rpart","DECISION TREE"
"rpart49",10.4461729391136,"rpart","DECISION TREE"
"rpart50",11.3896960340768,"rpart","DECISION TREE"
"rpart51",9.36985211427327,"rpart","DECISION TREE"
"rpart52",8.47597928187444,"rpart","DECISION TREE"
"rpart53",5.86568112545006,"rpart","DECISION TREE"
"rpart54",7.52197967572831,"rpart","DECISION TREE"
"rpart55",9.44800520812797,"rpart","DECISION TREE"
"rpart56",7.77280537940645,"rpart","DECISION TREE"
"rpart57",7.70936150442151,"rpart","DECISION TREE"
"rpart58",8.94528903543045,"rpart","DECISION TREE"
"rpart59",8.62712811379959,"rpart","DECISION TREE"
"rpart60",7.39096079795243,"rpart","DECISION TREE"
"rpart61",7.81337833368349,"rpart","DECISION TREE"
"rpart62",7.65711197489988,"rpart","DECISION TREE"
"rpart63",9.7431072306221,"rpart","DECISION TREE"
"rpart64",5.88157918034799,"rpart","DECISION TREE"
"rpart65",8.25532690078105,"rpart","DECISION TREE"
"rpart66",8.64868354843614,"rpart","DECISION TREE"
"rpart67",7.24795582615307,"rpart","DECISION TREE"
"rpart68",9.39845192110085,"rpart","DECISION TREE"
"rpart69",7.29941735835875,"rpart","DECISION TREE"
"rpart70",8.34013938206994,"rpart","DECISION TREE"
"rpart71",6.80390855137813,"rpart","DECISION TREE"
"rpart72",9.39462105003678,"rpart","DECISION TREE"
"rpart73",11.8390256478679,"rpart","DECISION TREE"
"rpart74",8.48640348985516,"rpart","DECISION TREE"
"rpart75",9.05020958980304,"rpart","DECISION TREE"
"rpart76",9.15266098411749,"rpart","DECISION TREE"
"rpart77",9.80499289137974,"rpart","DECISION TREE"
"rpart78",7.70982265096647,"rpart","DECISION TREE"
