"","score","method","forest"
"rpart1",10.9886336414061,"rpart","DECISION TREE"
"rpart2",13.4718545302468,"rpart","DECISION TREE"
"rpart3",13.1658385661792,"rpart","DECISION TREE"
"rpart4",10.3347221675425,"rpart","DECISION TREE"
"rpart5",11.8318746117129,"rpart","DECISION TREE"
"rpart6",10.5676526517628,"rpart","DECISION TREE"
"rpart7",12.2029750391691,"rpart","DECISION TREE"
"rpart8",12.802101014499,"rpart","DECISION TREE"
"rpart9",15.3985952974579,"rpart","DECISION TREE"
"rpart10",11.9678946986137,"rpart","DECISION TREE"
"rpart11",12.4937795918136,"rpart","DECISION TREE"
"rpart12",15.6652177028052,"rpart","DECISION TREE"
"rpart13",15.4809688619317,"rpart","DECISION TREE"
"rpart14",13.3704803219977,"rpart","DECISION TREE"
"rpart15",13.8193815329863,"rpart","DECISION TREE"
"rpart16",9.85342434357998,"rpart","DECISION TREE"
"rpart17",10.9904087630116,"rpart","DECISION TREE"
"rpart18",10.7268274867649,"rpart","DECISION TREE"
"rpart19",13.6860576024578,"rpart","DECISION TREE"
"rpart20",10.8289671863426,"rpart","DECISION TREE"
"rpart21",12.964749028228,"rpart","DECISION TREE"
"rpart22",12.5244376213779,"rpart","DECISION TREE"
"rpart23",11.9411734060043,"rpart","DECISION TREE"
"rpart24",12.3609951825242,"rpart","DECISION TREE"
"rpart25",13.8766518671643,"rpart","DECISION TREE"
"rpart26",12.5737608680308,"rpart","DECISION TREE"
"rpart27",13.8729983278081,"rpart","DECISION TREE"
"rpart28",14.354669649671,"rpart","DECISION TREE"
"rpart29",12.1002929960886,"rpart","DECISION TREE"
"rpart30",11.5428411204184,"rpart","DECISION TREE"
"rpart31",16.9842494098876,"rpart","DECISION TREE"
"rpart32",11.8757358480319,"rpart","DECISION TREE"
"rpart33",10.9809058797092,"rpart","DECISION TREE"
"rpart34",13.0857147405298,"rpart","DECISION TREE"
"rpart35",12.112716565937,"rpart","DECISION TREE"
"rpart36",12.4105442013399,"rpart","DECISION TREE"
"rpart37",15.597302815859,"rpart","DECISION TREE"
"rpart38",10.5969721460874,"rpart","DECISION TREE"
"rpart39",12.5949802744148,"rpart","DECISION TREE"
"rpart40",11.8981179062759,"rpart","DECISION TREE"
"rpart41",16.6211666581897,"rpart","DECISION TREE"
"rpart42",11.9757371760305,"rpart","DECISION TREE"
"rpart43",10.9285361665808,"rpart","DECISION TREE"
"rpart44",13.6189359867648,"rpart","DECISION TREE"
"rpart45",11.9478128192878,"rpart","DECISION TREE"
"rpart46",13.3344963022623,"rpart","DECISION TREE"
"rpart47",11.6243884556293,"rpart","DECISION TREE"
"rpart48",13.6867750242101,"rpart","DECISION TREE"
"rpart49",15.0288314343763,"rpart","DECISION TREE"
"rpart50",12.6624341253602,"rpart","DECISION TREE"
"rpart51",11.2392240892366,"rpart","DECISION TREE"
"rpart52",13.4704424234803,"rpart","DECISION TREE"
"rpart53",10.325216785476,"rpart","DECISION TREE"
"rpart54",10.675659238693,"rpart","DECISION TREE"
"rpart55",10.5808112393824,"rpart","DECISION TREE"
"rpart56",12.3195783298164,"rpart","DECISION TREE"
"rpart57",12.5717334855839,"rpart","DECISION TREE"
"rpart58",11.9861922747729,"rpart","DECISION TREE"
"rpart59",13.2423047446953,"rpart","DECISION TREE"
"rpart60",12.3820002075606,"rpart","DECISION TREE"
"rpart61",11.1884204829812,"rpart","DECISION TREE"
"rpart62",13.2674668506644,"rpart","DECISION TREE"
"rpart63",11.477799680321,"rpart","DECISION TREE"
"rpart64",11.0502265302422,"rpart","DECISION TREE"
"rpart65",12.9013220397793,"rpart","DECISION TREE"
"rpart66",11.7306816853927,"rpart","DECISION TREE"
"rpart67",11.2181752169465,"rpart","DECISION TREE"
"rpart68",12.8017167987128,"rpart","DECISION TREE"
"rpart69",12.5970882001768,"rpart","DECISION TREE"
